RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
394735,30,"Kansas City, MO",Msa,MO,254933.0,259967.0,269633.0,274633.0,277317.0,275983.0,274983.0,272300.0,272633.0,280300.0,286967.0,293300.0,296600.0,306633.0,319933.0,331283.0,337917.0,336267.0,329933.0,319933.0,312950.0,307967.0,304667.0,301667.0,306333.0,316333.0,332633.0,342633.0,352633.0,359633.0,364933.0,361600.0,353300.0,344167.0,339167.0,335833.0,336650.0,347717.0,362717.0,379067.0,384650.0,381283.0,368283.0,354967.0
394775,31,"Las Vegas, NV",Msa,NV,290500.0,292300.0,295300.0,306300.0,324500.0,341500.0,349500.0,347967.0,341300.0,333297.0,324963.0,321597.0,318233.0,314933.0,312299.0,312833.0,316167.0,320500.0,323333.0,324333.0,322633.0,320933.0,319933.0,319967.0,321629.0,325929.0,334263.0,335633.0,333167.0,329800.0,334767.0,341267.0,344633.0,346333.0,346667.0,346663.0,345330.0,344997.0,353333.0,370000.0,394967.0,414967.0,426633.0,435000.0
394492,32,"Columbus, OH",Msa,OH,254267.0,268467.0,285133.0,302433.0,311600.0,316933.0,315267.0,306933.0,294933.0,283267.0,274767.0,268133.0,264800.0,269967.0,286633.0,306633.0,319967.0,325933.0,325967.0,320300.0,309330.0,295163.0,285797.0,280133.0,282600.0,292300.0,306267.0,316267.0,326567.0,336567.0,344933.0,341600.0,329967.0,320967.0,317333.0,317333.0,315663.0,318327.0,326627.0,336630.0,340633.0,337300.0,331300.0,324933.0
394705,33,"Indianapolis, IN",Msa,IN,210300.0,215267.0,227233.0,251600.0,272600.0,284283.0,279950.0,270317.0,260300.0,249600.0,239932.0,233182.0,229882.0,234883.0,248300.0,266633.0,281600.0,286600.0,284900.0,279767.0,274800.0,269800.0,264615.0,257948.0,256282.0,261049.0,272715.0,282715.0,291630.0,302446.0,311446.0,316450.0,310300.0,299667.0,286667.0,278122.0,274755.0,277755.0,284793.0,293127.0,297793.0,299300.0,296000.0,295000.0
395059,34,"San Jose, CA",Msa,CA,1071296.0,1104629.0,1154629.0,1208333.0,1245000.0,1261500.0,1244500.0,1199463.0,1149629.0,1115963.0,1082633.0,1048633.0,1015596.0,1031963.0,1065963.0,1113000.0,1139333.0,1156000.0,1142667.0,1116333.0,1099650.0,1099317.0,1095983.0,1071293.0,1070960.0,1104627.0,1162650.0,1188317.0,1191317.0,1208000.0,1237451.0,1254451.0,1254117.0,1243000.0,1242983.0,1226317.0,1215983.0,1215967.0,1232967.0,1249967.0,1266629.0,1283259.0,1285925.0,1268925.0
394355,35,"Austin, TX",Msa,TX,371040.0,372958.0,377440.0,382271.0,383715.0,383715.0,380517.0,374668.0,368264.0,363462.0,359834.0,355352.0,352606.0,354239.0,361528.0,370687.0,377087.0,374601.0,366257.0,356975.0,350572.0,347348.0,345395.0,342193.0,342225.0,346099.0,356801.0,364565.0,373210.0,383318.0,395084.0,405650.0,413014.0,419335.0,424527.0,426112.0,427651.0,434148.0,450330.0,473000.0,489667.0,501667.0,511667.0,519667.0
395194,36,"Virginia Beach, VA",Msa,VA,258067.0,257906.0,260773.0,265285.0,270569.0,274146.0,276433.0,276466.0,276143.0,273856.0,272212.0,270440.0,271278.0,274210.0,279204.0,284811.0,288323.0,289902.0,289902.0,289902.0,289612.0,289322.0,289322.0,289612.0,289902.0,289934.0,293156.0,297700.0,304141.0,309869.0,314992.0,318185.0,317323.0,316356.0,312722.0,307967.0,302467.0,299767.0,301467.0,306600.0,309933.0,309930.0,304963.0,301630.0
394902,37,"Nashville, TN",Msa,TN,383340.0,384739.0,386445.0,388568.0,388568.0,386862.0,383348.0,376832.0,372430.0,369087.0,367381.0,364993.0,363492.0,363525.0,365197.0,368435.0,373212.0,376623.0,376106.0,373001.0,369589.0,368063.0,366050.0,363355.0,360284.0,360591.0,363287.0,366664.0,371475.0,376627.0,383450.0,387169.0,390580.0,391612.0,391305.0,389566.0,388587.0,394280.0,401967.0,413967.0,426072.0,439272.0,450905.0,453800.0
395005,38,"Providence, RI",Msa,RI,346009.0,347792.0,353072.0,360064.0,365308.0,367021.0,367056.0,367056.0,367056.0,365273.0,361427.0,356218.0,354470.0,357966.0,366357.0,376006.0,383313.0,387124.0,387963.0,387963.0,387648.0,385935.0,382439.0,375761.0,370517.0,373664.0,384152.0,394605.0,401947.0,408939.0,419463.0,425791.0,422329.0,411806.0,400269.0,396423.0,396606.0,407169.0,408000.0,411667.0,411333.0,424667.0,436300.0,441600.0
394862,39,"Milwaukee, WI",Msa,WI,216267.0,217933.0,226267.0,238100.0,249467.0,256133.0,257967.0,254933.0,249467.0,244133.0,237467.0,232633.0,231267.0,234300.0,237933.0,237967.0,237467.0,237467.0,239100.0,239900.0,236567.0,231600.0,226467.0,221500.0,219800.0,221600.0,231567.0,241567.0,251567.0,256600.0,259967.0,256633.0,250800.0,243467.0,236833.0,230967.0,224933.0,223217.0,224883.0,230750.0,239100.0,240767.0,236567.0,228267.0
